day,hour,value,date
1,1,88,2014-03-09T10:00:27
1,2,20,2014-03-09T08:37:00
1,3,44,n/a
1,4,0,n/a
1,5,33,n/a
1,6,2,2014-03-09T09:12:00
1,7,0,n/a
1,8,9,2014-03-09T13:37:27
1,9,25,2014-03-09T11:00:47
1,10,1,2014-03-09T15:47:13
1,11,57,2014-03-09T20:20:02
1,12,61,2014-03-09T12:30:07
1,13,22,2014-03-09T12:07:27
1,14,25,2014-03-09T15:00:16
1,15,7,2014-03-09T22:50:12
1,16,55,2014-03-09T15:10:27
1,17,51,2014-03-09T11:07:00
1,18,17,2014-03-09T10:50:00
1,19,11,2014-03-09T23:20:12
1,20,5,2014-03-09T13:00:00
1,21,4,2014-03-09T07:15:12
1,22,22,2014-03-09T06:12:59
1,23,17,n/a
1,24,12,2014-03-09T16:45:21
2,1,6,2014-03-10T10:00:27
2,2,22,2014-03-10T10:00:27
2,3,0,n/a
2,4,0,n/a
2,5,33,n/a
2,6,5,2014-03-10T10:00:27
2,7,9,n/a
2,8,1,2014-03-10T10:00:27
2,9,12,2014-03-10T10:00:27
2,10,32,2014-03-10T10:00:27
2,11,46,2014-03-10T10:00:27
2,12,11,2014-03-10T10:00:27
2,13,9,2014-03-10T10:00:27
2,14,11,2014-03-10T10:00:27
2,15,15,2014-03-10T10:00:27
2,16,24,2014-03-10T10:00:27
2,17,22,2014-03-10T10:00:27
2,18,11,2014-03-10T10:00:27
2,19,4,2014-03-10T10:00:27
2,20,11,2014-03-10T10:00:27
2,21,34,2014-03-10T10:00:27
2,22,2,2014-03-10T10:00:27
2,23,0,n/a
2,24,4,2014-03-10T10:00:27
3,1,1,2014-03-11T10:00:27
3,2,8,2014-03-11T10:00:27
3,3,3,2014-03-11T10:00:27
3,4,0,n/a
3,5,0,n/a
3,6,12,2014-03-11T10:00:27
3,7,34,2014-03-11T10:00:27
3,8,12,2014-03-11T10:00:27
3,9,45,2014-03-11T10:00:27
3,10,5,2014-03-11T10:00:27
3,11,1,2014-03-11T10:00:27
3,12,34,2014-03-11T10:00:27
3,13,23,2014-03-11T10:00:27
3,14,16,2014-03-11T10:00:27
3,15,27,2014-03-11T10:00:27
3,16,9,2014-03-11T10:00:27
3,17,19,2014-03-11T10:00:27
3,18,23,2014-03-11T10:00:27
3,19,17,2014-03-11T10:00:27
3,20,43,2014-03-11T10:00:27
3,21,12,2014-03-11T10:00:27
3,22,5,2014-03-11T10:00:27
3,23,1,2014-03-11T10:00:27
3,24,19,2014-03-11T10:00:27
4,1,0,n/a
4,2,0,n/a
4,3,0,n/a
4,4,0,n/a
4,5,0,n/a
4,6,11,2014-03-12T10:00:27
4,7,19,2014-03-12T10:00:27
4,8,45,2014-03-12T10:00:27
4,9,23,2014-03-12T10:00:27
4,10,10,2014-03-12T10:00:27
4,11,34,2014-03-12T10:00:27
4,12,45,2014-03-12T10:00:27
4,13,20,2014-03-12T10:00:27
4,14,41,2014-03-12T10:00:27
4,15,36,2014-03-12T10:00:27
4,16,3,2014-03-12T10:00:27
4,17,52,2014-03-12T10:00:27
4,18,12,2014-03-12T10:00:27
4,19,19,2014-03-12T10:00:27
4,20,22,2014-03-12T10:00:27
4,21,15,2014-03-12T10:00:27
4,22,46,2014-03-12T10:00:27
4,23,13,2014-03-12T10:00:27
4,24,10,2014-03-12T10:00:27
5,1,32,2014-03-12T10:00:27
5,2,0,n/a
5,3,44,2014-03-13T10:00:27
5,4,14,2014-03-13T10:00:27
5,5,0,n/a
5,6,23,2014-03-13T10:00:27
5,7,31,2014-03-13T10:00:27
5,8,3,2014-03-13T10:00:27
5,9,27,2014-03-13T10:00:27
5,10,36,2014-03-13T10:00:27
5,11,23,2014-03-13T10:00:27
5,12,45,2014-03-13T10:00:27
5,13,17,2014-03-13T10:00:27
5,14,33,2014-03-13T10:00:27
5,15,20,2014-03-13T10:00:27
5,16,12,2014-03-13T10:00:27
5,17,1,2014-03-13T10:00:27
5,18,21,2014-03-13T10:00:27
5,19,32,2014-03-13T10:00:27
5,20,16,2014-03-13T10:00:27
5,21,27,2014-03-13T10:00:27
5,22,2,2014-03-13T10:00:27
5,23,9,2014-03-13T10:00:27
5,24,11,2014-03-13T10:00:27
6,1,23,2014-03-13T10:00:27
6,2,0,n/a
6,3,11,2014-03-14T10:00:27
6,4,0,n/a
6,5,0,n/a
6,6,0,n/a
6,7,21,2014-03-14T10:00:27
6,8,46,2014-03-14T10:00:27
6,9,40,2014-03-14T10:00:27
6,10,35,2014-03-14T10:00:27
6,11,42,2014-03-14T10:00:27
6,12,23,2014-03-14T10:00:27
6,13,40,2014-03-14T10:00:27
6,14,44,2014-03-14T10:00:27
6,15,0,n/a
6,16,12,2014-03-14T10:00:27
6,17,22,2014-03-14T10:00:27
6,18,15,2014-03-14T10:00:27
6,19,0,n/a
6,20,0,n/a
6,21,0,n/a
6,22,0,n/a
6,23,0,n/a
6,24,0,n/a
7,1,11,2014-03-15T10:00:27
7,2,23,2014-03-15T10:00:27
7,3,0,n/a
7,4,0,n/a
7,5,0,n/a
7,6,12,2014-03-15T10:00:27
7,7,21,2014-03-15T10:00:27
7,8,36,2014-03-15T10:00:27
7,9,31,2014-03-15T10:00:27
7,10,39,2014-03-15T10:00:27
7,11,45,2014-03-15T10:00:27
7,12,51,2014-03-15T10:00:27
7,13,15,2014-03-15T10:00:27
7,14,23,2014-03-15T10:00:27
7,15,2,2014-03-15T10:00:27
7,16,46,2014-03-15T10:00:27
7,17,22,2014-03-15T10:00:27
7,18,2,2014-03-15T10:00:27
7,19,40,2014-03-15T10:00:27
7,20,36,2014-03-15T10:00:27
7,21,45,2014-03-15T10:00:27
7,22,34,2014-03-15T10:00:27
7,23,0,n/a
7,24,23,2014-03-15T10:00:27
